,KY_CD,_c1
0,672,21
1,675,1185
2,676,33
3,677,245
4,678,3512
5,110,4018
6,111,3482
7,112,4003
8,113,4011
9,114,3740
10,115,129
11,116,3733
12,117,4011
13,118,4016
14,119,48
15,455,61
16,340,3999
17,341,4018
18,342,821
19,343,3676
20,344,4018
21,345,747
22,346,635
23,347,4016
24,348,4018
25,230,324
26,231,1898
27,349,49
28,232,3884
29,233,4017
30,234,104
31,685,19
32,235,4014
33,236,4017
34,237,164
35,238,1922
36,571,186
37,120,395
38,121,4018
39,572,711
40,122,117
41,123,4
42,124,1783
43,125,2570
44,126,4018
45,577,3
46,578,4018
47,460,12
48,350,1479
49,351,4018
50,352,4018
51,353,3891
52,354,92
53,355,3815
54,356,421
55,357,10
56,358,3820
57,359,4017
58,360,3502
59,361,4018
60,362,3
61,363,536
62,364,2796
63,365,3710
64,366,43
65,881,12
66,101,2687
67,102,89
68,103,35
69,104,3901
70,105,4018
71,106,4018
72,107,4018
73,109,4018
